"CheckId","Title","Category","Service","MaxScore","UserImpact","ImplementationStatus","LicenseRequired","Remediation"
"aad_admin_accounts_separate_unassigned_cloud_only","Ensure Administrative accounts are separate and cloud-only",,"AzureAD","3","Unknown",,"M365 Standard-Lizenz","1. Navigate to Microsoft 365 admin center 2. Click to expand Users select Active users.3. Sort by the Licenses column.4. For each user account in an administrative role verify the following: The account is Cloud only (not synced) The account is assigned a license that is not associated with applications i.e. (Microsoft Entra ID P1, Microsoft Entra ID P2)"
"aad_admin_consent_workflow","Ensure the admin consent workflow is enabled",,"AzureAD","5",,,"M365 Standard-Lizenz","In the Microsoft 365 Admin Center, Select Admin Centers, and Microsoft Entra ID. Select Enterprise applications from the Azure Navigation pane. Under Security select Consent and permissions. Under Manage select Admin consent settings and set Users can request admin consent to apps they are unable to consent to&nbsp;Yes. Under the Reviewers choose the Roles, Groups that you would like to review user generated app consent requests. Select Save at the top of the window."
"aad_custom_banned_passwords","Ensure custom banned passwords lists are used",,"AzureAD","5","Unknown",,"M365 Standard-Lizenz","Create a custom banned password list:  Navigate to Microsoft Entra ID admin center https://entra.microsoft.com/ Click to expand Microsoft Entra ID &gt; Protect &amp; Secure &gt; Authentication methods Select Password protection Set Enforce custom list to Yes In Custom banned password list create a list using suggestions outlined in this document. Click Save  NOTE: Below is a list of examples that can be used as a starting place. Check the references section for more.  Brand names Product names Locations, such as company headquarters Company-specific internal terms Abbreviations that have specific company meaning"
"aad_limited_administrative_roles","Ensure 'Microsoft Azure Management' is limited to administrative roles",,"AzureAD","3","Unknown",,"M365 Standard-Lizenz","To enable Microsoft Azure Management restrictions:  Navigate to the Microsoft Entra ID admin center https://entra.microsoft.com. Click expand Protection &gt; Conditional Access select Policies. Click New Policy and then name the policy. Select Users &gt; Include &gt; All Users Select Users &gt; Exclude &gt; Directory roles and select only administrative roles (See below). Select Cloud apps or actions &gt; Select apps &gt; Select then click the box next to Windows Azure Service Management API. Click Select. Select Grant &gt; Block access and click Select. Ensure Enable Policy is On then click Create.  WARNING: Exclude Global Administrator at a minimum to avoid being locked out. Report-only is a good option to use when testing any Conditional Access policy for the first time. Below is the list of administrative roles that can be excluded:  Application administrator Authentication administrator Billing administrator Cloud application administrator Conditional Access administrator Exchange administrator Global administrator Global reader Helpdesk administrator Password administrator Privileged authentication administrator Privileged role administrator Security administrator SharePoint administrator User administrator  Default Value: No - Non-administrators can access the Microsoft Entra ID administration portal."
"aad_linkedin_connection_disables","Ensure 'LinkedIn account connections' is disabled",,"AzureAD","3","Unknown",,"M365 Standard-Lizenz","To disable LinkedIn account connections:  Navigate to Microsoft Entra ID admin center https://entra.microsoft.com/ Click to expand Microsoft Entra ID &gt; Users select User settings. Under LinkedIn account connections select No. Click Save at the top of the page."
"aad_managed_approved_public_groups_only","Ensure that only organizationally managed/approved public groups exist",,"AzureAD","3","Unknown",,"M365 Standard-Lizenz","In the Microsoft 365 Administration&nbsp;portal, go to:Teams &amp; groups -&gt;&nbsp;Active teams &amp; groups.&nbsp;For each group, under Settings,&nbsp;make sure Privacy is set to &apos;Private&apos;."
"aad_password_protection","Ensure password protection is enabled for on-prem Active Directory",,"AzureAD","6","Unknown",,"M365 Standard-Lizenz","To setup Microsoft Entra ID Password Protection, use the following steps:&nbsp;  Download and install the Microsoft Entra ID Password Proxies and DC Agents from the following location: https://www.microsoft.com/download/details.aspx?id=57071 After the installation is complete, login to https://admin.microsoft.com as a Global Administrator. Go to Admin centers and click on&nbsp;Microsoft Entra ID. Select Microsoft Entra ID then Security on the left side navigation followed by Authentication methods. Select Password protection and toggle Enable password protection on Windows Server Active Directory to Yes and Mode to Enforced Click Save at the top of the right pane."
"aad_phishing_MFA_strength","Ensure 'Phishing-resistant MFA strength' is required for Administrators",,"AzureAD","7","Unknown",,"M365 Standard-Lizenz","To create a phishing-resistant MFA CA policy for users in administrative roles:  Navigate to the Microsoft Entra ID admin center https://entra.microsoft.com. Click to expand Microsoft Entra ID &gt; Applications select Enterprise Applications. Under Security, select Conditional Access. Click New policy. Go to Users &gt; Users and groups &gt; Include &gt; Select users and groups &gt; Directory roles Add at least the Directory roles listed after these steps. Select Cloud apps or actions &gt; All cloud apps (and don't exclude any apps). Grant &gt; Grant Access with Require authentication strength (Preview): Phishing-resistant MFA Click 'Select' Set Enable policy to Report-only and click Create  At minimum these directory roles should be included for the policy:  Application administrator Authentication administrator Billing administrator Cloud application administrator Conditional Access administrator Exchange administrator Global administrator Global reader Helpdesk administrator Password administrator Privileged authentication administrator Privileged role administrator Security administrator SharePoint administrator User administrator  WARNING: Ensure administrators are pre-registered with strong authentication before enforcing the policy. After which the policy must be set to &ldquo;On&rdquo;."
"aad_sign_in_freq_session_timeout","Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users",,"AzureAD","5",,,"M365 Standard-Lizenz","To configure Sign-in frequency and browser sessions persistence for Administrative users:  Navigate to Microsoft Entra admin center https://entra.microsoft.com/.Click to Protection &gt; Conditional Access. Click New policy Click Users and groups Under Include select Select users and groups and then select Directory roles. At a minimum, select the roles in the section below: Go to Target resources&nbsp;&gt; Cloud apps &gt; Include &gt; select All cloud apps (and don't exclude any apps). Under Access controls &gt; Grant &gt; select Grant access &gt; check Require multi-factor authentication (and nothing else). Under Session select Sign-in frequency and set to at most 4 hours for E3 tenants. E5 tenants with PIM can be set to a maximum value of 24 hours. Check Persistent browser session then select Never persistent in the drop-down menu. For Enable Policy select On and click Save  At minimum these directory roles should be included for MFA:  Application administrator Authentication administrator Billing administrator Cloud application administrator Conditional Access administrator Exchange administrator Global administrator Global reader Helpdesk administrator Password administrator Privileged authentication administrator Privileged role administrator Security administrator SharePoint administrator User administrator"
"aad_third_party_apps","Ensure third party integrated applications are not allowed",,"AzureAD","5",,,"M365 Standard-Lizenz","In the Microsoft 365 Admin Center Select Admin Centers and Microsoft Entra ID.Select Users from the Azure navigation paneSelect Users settings.Set App registrations is set to No.Click Save."
